Country/ Region;2015;2020;2025;2030;2035;2040;2045;2050;∆2050 - 2015 (%)
AT;8.63;7.33;6.14;5.15;4.68;4.34;4.19;4.11;-52.4
AU;15.95;13.31;10.44;8.83;7.96;7.09;6.83;6.8;-57.4
BE;9.53;8.54;7.6;6.73;6.27;5.82;5.66;5.49;-42.4
BG;5.08;4.79;3.99;3.07;2.15;1.81;1.67;1.6;-68.5
BR;3.95;3.84;3.34;2.86;2.72;2.59;2.51;2.46;-37.7
CA;12.8;11.63;10.28;8.94;8.18;7.69;7.6;7.52;-41.3
CH;9.45;7.96;6.26;5.15;4.71;4.29;4.02;3.74;-60.4
CN;1.91;1.82;1.75;1.45;1.2;1.08;1.07;1.06;-44.5
CY;9.57;9.32;7.9;6.7;6.41;5.71;5.87;6.07;-36.6
CZ;8.26;6.25;4.81;3.82;3.44;3.27;3.2;3.15;-61.9
DE;9.52;7.88;6.18;4.8;4.14;3.75;3.68;3.65;-61.7
DK;9.16;7.61;5.96;4.8;4.5;4.33;4.33;4.36;-52.4
EE;9.92;8.77;7.58;6.15;3.84;2.66;2.43;2.35;-76.3
ES;5.61;4.82;4.13;3.44;3.08;2.79;2.64;2.55;-54.5
FI;9.28;7.92;6.73;5.73;5.33;4.98;4.78;4.63;-50.1
FR;6.43;5.71;5.07;4.51;4.31;4.1;3.99;3.91;-39.2
GB;9.27;8.59;7.65;6.8;6.51;6.28;6.22;6.24;-32.7
GR;11.46;10.14;8.26;6.49;6.16;5.98;6.03;6.09;-46.9
HR;3.6;3.01;2.56;2.22;2.05;1.9;1.84;1.8;-50.0
HU;4.86;4.42;3.96;3.58;3.39;3.18;3.19;3.18;-34.6
ID;1.95;2.17;2.22;2.19;2.16;2.19;2.31;2.49;27.7
IE;9.06;7.08;6.07;5.32;5.01;4.72;4.6;4.5;-50.3
IN;1.29;1.3;1.25;1.16;1.08;1.05;1.07;1.1;-14.7
IT;7.28;6.76;6.15;5.44;5.02;4.61;4.41;4.23;-41.9
JP;8.62;7.29;6.2;4.9;4.21;3.68;3.44;3.27;-62.1
KR;6.82;5.94;5.44;4.52;3.73;3.1;2.78;2.71;-60.3
LT;7.85;6.53;5.98;5.45;4.92;4.35;4.05;3.81;-51.5
LU;17.65;12.95;9.99;7.95;6.93;6.29;6.2;6.0;-66.0
LV;5.82;4.14;3.71;3.2;2.87;2.57;2.38;2.22;-61.9
MT;8.98;6.77;5.43;5.19;4.66;3.95;3.44;3.18;-64.6
MX;3.48;3.48;3.06;2.74;2.5;2.29;2.14;2.02;-42.0
NL;9.33;7.86;6.49;5.41;4.93;4.55;4.4;4.32;-53.7
NO;10.14;8.84;7.1;5.53;5.11;4.72;4.52;4.3;-57.6
PL;7.76;7.19;5.54;4.24;4.26;4.42;4.12;3.89;-49.9
PT;5.96;4.94;4.22;3.65;3.48;3.36;3.33;3.3;-44.6
RO;3.62;3.37;3.17;2.86;2.59;2.5;2.49;2.49;-31.2
RU;6.4;6.43;6.15;5.84;5.66;6.2;6.03;5.64;-11.9
SE;6.25;5.41;4.83;4.33;4.11;3.9;3.78;3.66;-41.4
SI;7.45;4.04;3.01;2.36;2.1;1.9;1.81;1.72;-76.9
SK;4.94;3.49;2.68;2.11;1.84;1.65;1.55;1.47;-70.2
TR;4.29;4.61;3.87;3.01;2.44;2.03;1.76;1.64;-61.8
TW;6;5.54;5.42;5.02;4.5;3.81;3.6;3.35;-44.2
US;16.86;15.22;12.85;10.76;9.79;9.31;9.11;9.23;-45.3
WA;2.07;1.91;1.76;1.63;1.55;1.52;1.61;1.7;-17.9
WE;3.38;3.56;3.27;2.74;2.36;2.18;2.17;2.43;-28.1
WF;1.74;1.74;1.68;1.87;2.13;2.44;2.83;3.3;89.7
WL;4.25;3.92;3.42;3.05;2.95;2.92;3.01;3.12;-26.6
WM;4.26;4.03;3.79;3.6;3.43;3.36;3.27;3.3;-22.5
ZA;4.42;5.13;5.29;4.85;3.24;2.62;2.37;2.22;-49.8
World;3.56;3.33;2.99;2.67;2.52;2.48;2.55;2.67;-25.0
EU27;7.44;6.44;5.42;4.54;4.17;3.91;3.79;3.7;-50.3
N EU;7.97;6.63;5.68;4.9;4.52;4.21;4.08;3.99;-49.9
E EU;6.22;5.53;4.47;3.6;3.41;3.37;3.22;3.11;-50.0
S EU;6.85;6.09;5.33;4.55;4.18;3.86;3.72;3.6;-47.4
W EU;8.4;7.13;5.9;4.9;4.45;4.12;4.03;3.96;-52.9
